avg_cost,cuisines,id,location,name,price_range,rating
600,"Fast Food, Pizza",18430754,"619, 1st Floor, Arwaaz Arcade, Near Sony Signal, 80Ft Main Road, Koramangala 6th Block, Bangalore",Mojo Pizza - 2X Toppings,2,4.4
1400,"Continental, Finger Food, Asian, North Indian",18586207,"413, 100 Feet Road, Next E-Zone, Koramangala 4th Block, Bangalore",The Terrace at Gilly's Redefined,3,4.5
400,"North Indian, Biryani, Awadhi, Mughlai",18765134,"Koramangala 6th Block, Bangalore",Aligarh House,1,4.4
1200,"North Indian, South Indian, Chinese, Continental, Mangalorean",18270163,"43/A, 1st Main, Jakkasandra Road,  Near Wipro Park, Koramangala 1st Block, Bangalore",Roots,3,4.5
1500,"Italian, Salad",18304757,"2nd Floor, Forum Mall, Koramangala 7th Block, Bangalore Koramangala 7th Block",Toscano,3,4.5
1000,"Continental, American, Italian, Modern Indian, Pizza, Burger",18709627,"3rd Floor, 105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Simon Says Brew Works,3,4.3
1400,"Chinese, Sushi, Asian, Thai",18594937,"3, 5th Block, 60 Feet Road, Koramangala 5th Block, Bangalore",Big Wong XL,3,4.5
1100,Modern Indian,18772094,"6, Z1 Construction Building, 5th Floor, Next To Sapna Book House, 20th Main Road, Koramangala 7th Block, Bangalore",Bombay Adda,3,4.3
400,"Ice Cream, Desserts",50308,"67-7-61, 1st A Main, Koramangala 7th Block, Bangalore",Corner House Ice Cream,1,4.5
400,"Street Food, Desserts, North Indian, Mithai, Rajasthani",61381,"635, 100 Feet Road, Koramangala 6th Block, Bangalore",Kota Kachori,1,4.3
800,"Cafe, Continental, Mediterranean, Beverages",18622268,"10, Fifth A Block, 17th B Main, Koramangala 5th Block, Bangalore",Market Table,2,4.5
1200,"Continental, Finger Food, North Indian, Chinese",18604249,"77/A, 4th Floor Floor, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Crawl Street,3,4.3
150,"Ice Cream, Desserts",50723,"1021, 80 Feet Main Road, Koramangala 1st Block, Bangalore",Natural Ice Cream,1,4.5
400,"Desserts, Ice Cream",18479199,"15, 60 Feet Road, 19th Main, Koramangala 6th Block, Bangalore",IceBreakers,1,4.5
600,North Indian,50448,"20, Ground Floor, Raheja Arcade, Koramangala, Koramangala 7th Block, Bangalore",Gramin,2,4.3
300,"Desserts, Cafe",18712394,"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block",99 Pancakes,1,4.5
1200,"Finger Food, North Indian",18304764,"43/A, 1st Main, Near Wipro Park, Jakkasandra Road, Koramangala 1st Block, Bangalore",B-hive,3,4.3
1000,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",18602880,"145, 60ft Road, KHB Colony, Koramangala 5th Block, Bangalore",Drunkling - Sizzlers and Pub,3,4.5
800,"Andhra, North Indian, Biryani",53230,"138, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",Nagarjuna,2,4.3
350,"Ice Cream, Desserts",18714645,"Near 18th Main Park, 17th H Main Road, Koramangala 5th Block",Black Deer,1,4.5
900,"Continental, Cafe, Italian, Fast Food, Steak",57503,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Dice N Dine,2,4.3
600,"Biryani, Seafood, Andhra, North Indian",50691,"124, Near Jyothi Nivas College, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",Meghana Foods,2,4.4
800,"Cafe, Continental, Italian, Burger",18362422,"104, Vijay Building, 5th Main, Koramangala 5th Block, Bangalore",Hungry Hippie,2,4.3
600,"Pizza, Cafe, Italian",59840,"562, 8th Main, Koramangala 4th Block, Bangalore",Onesta,2,4.4
1300,"Chettinad, Andhra, Kerala",55260,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Bonsouth,3,4.3
